,x,y,time,forager,type
93,9.0,23.0,94,5,communicators
94,8.0,22.0,95,5,communicators
95,6.0,23.0,96,5,communicators
96,6.0,25.0,97,5,communicators
97,6.0,26.0,98,5,communicators
98,6.0,29.0,99,5,communicators
99,8.0,29.0,100,5,communicators
100,7.0,31.0,101,5,communicators
101,6.0,29.0,102,5,communicators
102,4.0,29.0,103,5,communicators
103,2.0,28.0,104,5,communicators
104,2.0,26.0,105,5,communicators
105,3.0,24.0,106,5,communicators
106,5.0,23.0,107,5,communicators
107,7.0,21.0,108,5,communicators
108,9.0,19.0,109,5,communicators
109,11.0,17.0,110,5,communicators
110,13.0,15.0,111,5,communicators
111,15.0,13.0,112,5,communicators
112,18.0,13.0,113,5,communicators
113,21.0,13.0,114,5,communicators
114,24.0,13.0,115,5,communicators
115,26.0,15.0,116,5,communicators
116,28.0,14.0,117,5,communicators
117,29.0,13.0,118,5,communicators
118,27.0,13.0,119,5,communicators
119,0.0,0.0,120,5,communicators
0,3.0,31.0,1,6,communicators
1,4.0,32.0,2,6,communicators
2,4.0,29.0,3,6,communicators
3,4.0,26.0,4,6,communicators
4,4.0,23.0,5,6,communicators
5,4.0,20.0,6,6,communicators
6,4.0,17.0,7,6,communicators
7,4.0,14.0,8,6,communicators
8,4.0,11.0,9,6,communicators
9,4.0,8.0,10,6,communicators
10,4.0,5.0,11,6,communicators
11,6.0,3.0,12,6,communicators
12,7.0,1.0,13,6,communicators
13,7.0,0.0,14,6,communicators
14,8.0,0.0,15,6,communicators
15,6.0,2.0,16,6,communicators
16,5.0,2.0,17,6,communicators
17,6.0,3.0,18,6,communicators
18,5.0,3.0,19,6,communicators
19,8.0,3.0,20,6,communicators
20,11.0,3.0,21,6,communicators
21,14.0,3.0,22,6,communicators
22,15.0,5.0,23,6,communicators
23,16.0,4.0,24,6,communicators
24,19.0,4.0,25,6,communicators
25,22.0,4.0,26,6,communicators
26,25.0,4.0,27,6,communicators
27,27.0,2.0,28,6,communicators
28,30.0,2.0,29,6,communicators
29,31.0,2.0,30,6,communicators
30,31.0,1.0,31,6,communicators
31,30.0,1.0,32,6,communicators
32,30.0,2.0,33,6,communicators
33,29.0,0.0,34,6,communicators
34,31.0,2.0,35,6,communicators
35,31.0,5.0,36,6,communicators
36,31.0,8.0,37,6,communicators
37,33.0,9.0,38,6,communicators
38,30.0,9.0,39,6,communicators
39,27.0,9.0,40,6,communicators
40,26.0,10.0,41,6,communicators
41,26.0,9.0,42,6,communicators
42,27.0,10.0,43,6,communicators
43,26.0,11.0,44,6,communicators
44,24.0,12.0,45,6,communicators
45,23.0,11.0,46,6,communicators
46,22.0,12.0,47,6,communicators
47,20.0,14.0,48,6,communicators
48,17.0,14.0,49,6,communicators
49,16.0,16.0,50,6,communicators
50,16.0,15.0,51,6,communicators
51,15.0,15.0,52,6,communicators
52,15.0,16.0,53,6,communicators
53,15.0,16.0,54,6,communicators
54,18.0,16.0,55,6,communicators
55,20.0,18.0,56,6,communicators
56,22.0,19.0,57,6,communicators
57,21.0,19.0,58,6,communicators
58,22.0,18.0,59,6,communicators
59,22.0,16.0,60,6,communicators
60,24.0,15.0,61,6,communicators
61,24.0,16.0,62,6,communicators
62,24.0,19.0,63,6,communicators
63,24.0,22.0,64,6,communicators
64,24.0,25.0,65,6,communicators
65,25.0,27.0,66,6,communicators
66,25.0,28.0,67,6,communicators
67,26.0,28.0,68,6,communicators
68,24.0,27.0,69,6,communicators
69,26.0,26.0,70,6,communicators
70,25.0,28.0,71,6,communicators
71,23.0,29.0,72,6,communicators
72,23.0,31.0,73,6,communicators
73,21.0,30.0,74,6,communicators
74,19.0,28.0,75,6,communicators
75,22.0,28.0,76,6,communicators
76,24.0,29.0,77,6,communicators
77,24.0,31.0,78,6,communicators
78,25.0,33.0,79,6,communicators
79,26.0,33.0,80,6,communicators
80,25.0,31.0,81,6,communicators
81,27.0,33.0,82,6,communicators
82,27.0,32.0,83,6,communicators
83,26.0,30.0,84,6,communicators
84,23.0,30.0,85,6,communicators
85,20.0,30.0,86,6,communicators
86,18.0,28.0,87,6,communicators
87,16.0,26.0,88,6,communicators
88,13.0,26.0,89,6,communicators
89,11.0,24.0,90,6,communicators
90,10.0,22.0,91,6,communicators
91,10.0,24.0,92,6,communicators
92,12.0,23.0,93,6,communicators
93,12.0,25.0,94,6,communicators
94,13.0,23.0,95,6,communicators
95,15.0,22.0,96,6,communicators
96,15.0,20.0,97,6,communicators
97,14.0,22.0,98,6,communicators
98,11.0,22.0,99,6,communicators
99,10.0,21.0,100,6,communicators
100,10.0,20.0,101,6,communicators
101,12.0,21.0,102,6,communicators
102,14.0,19.0,103,6,communicators
103,13.0,20.0,104,6,communicators
104,15.0,18.0,105,6,communicators
105,17.0,16.0,106,6,communicators
106,19.0,14.0,107,6,communicators
107,19.0,11.0,108,6,communicators
108,19.0,11.0,109,6,communicators
109,19.0,12.0,110,6,communicators
110,20.0,12.0,111,6,communicators
111,20.0,11.0,112,6,communicators
112,23.0,11.0,113,6,communicators
113,25.0,13.0,114,6,communicators
114,27.0,15.0,115,6,communicators
115,28.0,15.0,116,6,communicators
116,28.0,14.0,117,6,communicators
117,29.0,12.0,118,6,communicators
118,29.0,15.0,119,6,communicators
119,0.0,0.0,120,6,communicators
0,18.0,0.0,1,7,communicators
1,16.0,2.0,2,7,communicators
2,19.0,2.0,3,7,communicators
3,22.0,2.0,4,7,communicators
4,25.0,2.0,5,7,communicators
5,27.0,4.0,6,7,communicators
6,27.0,5.0,7,7,communicators
7,28.0,4.0,8,7,communicators
8,25.0,4.0,9,7,communicators
9,22.0,4.0,10,7,communicators
10,19.0,4.0,11,7,communicators
11,16.0,4.0,12,7,communicators
12,13.0,4.0,13,7,communicators
13,11.0,2.0,14,7,communicators
14,8.0,2.0,15,7,communicators
15,6.0,2.0,16,7,communicators
16,5.0,2.0,17,7,communicators
17,6.0,3.0,18,7,communicators
18,5.0,3.0,19,7,communicators
19,8.0,3.0,20,7,communicators
20,11.0,3.0,21,7,communicators
21,14.0,3.0,22,7,communicators
22,15.0,5.0,23,7,communicators
23,16.0,4.0,24,7,communicators
24,19.0,4.0,25,7,communicators
25,22.0,4.0,26,7,communicators
26,25.0,4.0,27,7,communicators
27,27.0,2.0,28,7,communicators
28,30.0,2.0,29,7,communicators
29,31.0,2.0,30,7,communicators
30,31.0,1.0,31,7,communicators
31,30.0,1.0,32,7,communicators
32,32.0,0.0,33,7,communicators
33,31.0,2.0,34,7,communicators
34,31.0,5.0,35,7,communicators
35,32.0,7.0,36,7,communicators
36,32.0,9.0,37,7,communicators
37,33.0,9.0,38,7,communicators
38,30.0,9.0,39,7,communicators
39,27.0,9.0,40,7,communicators
40,26.0,10.0,41,7,communicators
41,26.0,9.0,42,7,communicators
42,27.0,10.0,43,7,communicators
43,25.0,8.0,44,7,communicators
44,26.0,9.0,45,7,communicators
45,24.0,7.0,46,7,communicators
46,26.0,8.0,47,7,communicators
47,24.0,10.0,48,7,communicators
48,22.0,12.0,49,7,communicators
49,20.0,14.0,50,7,communicators
50,17.0,14.0,51,7,communicators
51,15.0,15.0,52,7,communicators
52,15.0,16.0,53,7,communicators
