,x,y,time,bird,type
123,8.0,11.0,124,5,communicators
124,5.0,11.0,125,5,communicators
125,5.0,10.0,126,5,communicators
126,4.0,11.0,127,5,communicators
127,2.0,13.0,128,5,communicators
128,3.0,15.0,129,5,communicators
129,3.0,16.0,130,5,communicators
130,5.0,16.0,131,5,communicators
131,7.0,15.0,132,5,communicators
132,7.0,13.0,133,5,communicators
133,9.0,14.0,134,5,communicators
134,9.0,17.0,135,5,communicators
135,9.0,20.0,136,5,communicators
136,9.0,23.0,137,5,communicators
137,9.0,23.0,138,5,communicators
138,11.0,24.0,139,5,communicators
139,10.0,23.0,140,5,communicators
140,10.0,26.0,141,5,communicators
141,9.0,24.0,142,5,communicators
142,10.0,24.0,143,5,communicators
143,12.0,25.0,144,5,communicators
144,12.0,23.0,145,5,communicators
145,12.0,26.0,146,5,communicators
146,9.0,26.0,147,5,communicators
147,11.0,25.0,148,5,communicators
148,12.0,24.0,149,5,communicators
149,0.0,0.0,150,5,communicators
0,8.0,3.0,1,6,communicators
1,10.0,5.0,2,6,communicators
2,10.0,8.0,3,6,communicators
3,10.0,8.0,4,6,communicators
4,11.0,9.0,5,6,communicators
5,11.0,10.0,6,6,communicators
6,11.0,8.0,7,6,communicators
7,12.0,10.0,8,6,communicators
8,9.0,10.0,9,6,communicators
9,10.0,9.0,10,6,communicators
10,10.0,7.0,11,6,communicators
11,11.0,7.0,12,6,communicators
12,9.0,8.0,13,6,communicators
13,12.0,8.0,14,6,communicators
14,12.0,9.0,15,6,communicators
15,9.0,9.0,16,6,communicators
16,9.0,7.0,17,6,communicators
17,12.0,7.0,18,6,communicators
18,10.0,9.0,19,6,communicators
19,10.0,10.0,20,6,communicators
20,11.0,8.0,21,6,communicators
21,8.0,8.0,22,6,communicators
22,6.0,10.0,23,6,communicators
